month,power_prediction,power_lower_ci_95,power_upper_ci_95
2014 Jan,10277231.004275253,13098563.152687581,8278178.586331451
2014 Feb,8638896.131728023,10849234.654811887,7041157.198293388
2014 Mar,6634888.199399845,8091947.042353758,5538665.177864636
2014 Apr,5936418.467438002,7159148.424332489,5002145.573616001
2014 May,5903743.058737888,7115898.959233156,4976859.260535781
2014 Jun,8258976.488217229,10320629.047471477,6758600.536172917
2014 Jul,9509826.382906713,12091061.127568543,7674877.3844139585
2014 Aug,10091125.732032098,12929281.048084794,8094393.01438335
2014 Sep,8434559.526334777,10566363.731281765,6888384.3471868895
2014 Oct,5810249.5910319965,6992324.881806106,4904424.330142859
2014 Nov,6073653.055290986,7341212.409602173,5108138.738925328
2014 Dec,8177590.894691536,10207039.472771585,6698309.846394521
